Accession,Organism_Name,Species,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MG849269,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175596,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849268,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175536,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849267,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175524,7881,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847813,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_1754_2,7857,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849266,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175485,7676,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849265,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175456,7092,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849264,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175396,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849263,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175349,7901,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849262,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175231,7866,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849261,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175117,7620,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849260,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175110,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847812,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_1751,7677,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849259,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175068,7677,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849258,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_175010,7903,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849257,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174906,7891,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849256,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174843,7524,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847811,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_1748,7626,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849255,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174791,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849254,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174753,7901,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849253,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174708,7901,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849252,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174544,6995,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849251,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174390,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847810,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_1743,7677,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849250,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174259,7903,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849249,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174055,7677,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849248,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_174009,7898,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849247,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173974,7903,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849246,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173953,7847,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849245,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173705,7677,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849244,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173612,7889,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849243,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173600,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849242,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173583,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849241,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173500,7901,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849240,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173348,7678,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849239,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173341,7904,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849238,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173340,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849237,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173162,7901,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849236,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173145,7405,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849235,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173143,7832,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849234,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_173122,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849233,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_172983,7837,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849232,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_172822,7470,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849231,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_172690,7901,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG849230,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_172669,7901,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
