accession,lineage
KM058668,Unknown
KM058574,Unknown
KM058605,Unknown
KM058636,Unknown
KM058667,Unknown
MK388170,Unknown
MK388169,Unknown
MK388168,Unknown
MK388167,Unknown
KU684311,A
KU684313,A
KU684317,A
KU684316,A
KU684314,A
KU641509,D
KU684312,A
KU684315,A
MN705343,Unknown
MN705342,Unknown
MN705341,Unknown
MN705340,Unknown
MN705339,Unknown
MN705374,Unknown
MN705338,Unknown
MN705373,Unknown
MN705372,Unknown
MN705371,Unknown
MN705370,Unknown
MN705369,Unknown
MN705368,Unknown
MN705367,Unknown
MN705366,Unknown
MN705365,Unknown
MN705364,Unknown
MN705337,Unknown
MN705363,Unknown
MN705362,Unknown
MN705361,Unknown
MN705360,Unknown
MN705359,Unknown
MN705358,Unknown
MN705357,Unknown
MN705356,Unknown
MN705355,Unknown
MN705354,Unknown
MN705336,Unknown
MN705353,Unknown
MN705352,Unknown
MN705351,Unknown
MN705350,Unknown
MN705349,Unknown
MN705348,Unknown
MN705347,Unknown
MN705346,Unknown
MN705345,Unknown
MN705344,Unknown
MN705335,Unknown
PV809652,Unknown
PV809655,Unknown
LC155236,Unknown
MT013269,Unknown
MT013268,Unknown
MT013267,Unknown
MT013266,Unknown
MT013265,Unknown
JX412126,Unknown
JX412164,Unknown
GU296029,Unknown
MH370229,Unknown
MH370228,Unknown
MH370227,Unknown
MH370226,Unknown
MH370225,Unknown
MH370224,Unknown
MH370223,Unknown
MH370222,Unknown
MH370221,Unknown
MH370220,Unknown
MH370219,Unknown
MH370218,Unknown
MH370217,Unknown
MH370216,Unknown
MH370215,Unknown
MH370214,Unknown
MH370213,Unknown
MH370212,Unknown
MH370211,Unknown
MH370210,Unknown
MH370209,Unknown
MH370208,Unknown
MH370207,Unknown
MH370206,Unknown
MH370205,Unknown
MH370204,Unknown
MH370203,Unknown
MH370202,Unknown
MH370201,Unknown
MH370200,Unknown
MH370199,Unknown
MH370198,Unknown
MH370197,Unknown
MH370196,Unknown
MH370195,Unknown
MH370194,Unknown
MH370193,Unknown
MH370192,Unknown
MH370191,Unknown
MH370190,Unknown
MH370189,Unknown
MH370188,Unknown
MH370187,Unknown
MH370186,Unknown
MH370185,Unknown
MH370184,Unknown
MH370183,Unknown
MH370182,Unknown
MH370181,Unknown
MH370180,Unknown
MH370179,Unknown
MH370178,Unknown
MH370177,Unknown
MH370176,Unknown
MH370175,Unknown
MH370174,Unknown
MH370173,Unknown
MH370172,Unknown
MH370171,Unknown
MH370170,Unknown
MH370169,Unknown
MH370168,Unknown
MH370167,Unknown
MH370166,Unknown
MH370165,Unknown
MH370164,Unknown
OR513852,Unknown
AB706259,Unknown
AB706253,Unknown
KC823195,Unknown
KC823194,Unknown
KC823188,Unknown
KC823187,Unknown
KC823186,Unknown
KC823184,Unknown
KC823182,Unknown
KC823185,Unknown
KC823207,Unknown
KC823181,Unknown
KC823180,Unknown
KC823179,Unknown
KC823183,Unknown
KR029094,Unknown
KC823201,Unknown
KC823199,Unknown
KC823206,Unknown
KC823208,Unknown
KC823204,Unknown
KC823202,Unknown
KC823193,Unknown
KC823203,Unknown
KC823205,Unknown
KC823200,Unknown
KC823190,Unknown
KC823198,Unknown
KC823197,Unknown
KC823196,Unknown
KC823189,Unknown
KC823191,Unknown
KC823192,Unknown
KP313777,Unknown
KP313776,Unknown
KP313775,Unknown
KP313774,Unknown
KP313773,Unknown
PX844076,Unknown
KP313772,Unknown
KP313771,Unknown
KP313770,Unknown
KP313769,Unknown
KP313768,Unknown
KP313767,Unknown
KP313766,Unknown
KP313765,Unknown
MW388715,Unknown
MW388714,Unknown
MW388716,Unknown
PV426499,Unknown
PV426498,Unknown
PV426497,Unknown
PV426496,Unknown
PV426495,Unknown
PV426494,Unknown
PV426493,Unknown
PV426502,Unknown
PV426512,Unknown
PV426504,Unknown
PV426509,Unknown
PV426508,Unknown
PV426511,Unknown
PV426503,Unknown
PV426500,Unknown
PV426506,Unknown
PV426505,Unknown
PV426501,Unknown
PV426513,Unknown
PV426507,Unknown
PV426514,Unknown
PV426510,Unknown
MN542782,Unknown
KX462889,Unknown
KX462888,Unknown
KF954093,A
KX462887,Unknown
EU880243,Unknown
EU880242,Unknown
EU880241,Unknown
EU880240,Unknown
EU880239,Unknown
EU880238,Unknown
EU880272,Unknown
EU880271,Unknown
EU880270,Unknown
EU880269,Unknown
EU880268,Unknown
EU880267,Unknown
EU880266,Unknown
EU880265,Unknown
EU880264,Unknown
EU880237,Unknown
EU880263,Unknown
EU880262,Unknown
EU880261,Unknown
EU880260,Unknown
EU880259,Unknown
EU880258,Unknown
EU880257,Unknown
EU880256,Unknown
EU880255,Unknown
EU880254,Unknown
EU880236,Unknown
EU880253,Unknown
EU880252,Unknown
EU880251,Unknown
EU880250,Unknown
EU880249,Unknown
EU880248,Unknown
EU880247,Unknown
EU880246,Unknown
EU880245,Unknown
EU880244,Unknown
EU880235,Unknown
KY848440,Unknown
KY848442,Unknown
MN881080,Unknown
MN881079,Unknown
MN881078,Unknown
MN881077,Unknown
MN881076,Unknown
MN881093,Unknown
MN881092,Unknown
MN881075,Unknown
MN881091,Unknown
MN881090,Unknown
MN881089,Unknown
MN881088,Unknown
MN881074,Unknown
MN881087,Unknown
KJ869425,Unknown
MH057742,Unknown
MH057741,Unknown
MH057740,Unknown
MH057739,Unknown
MH057738,Unknown
MH057737,Unknown
MH057736,Unknown
MH057735,Unknown
KP019254,Unknown
KP019253,Unknown
KP019252,Unknown
KP019251,Unknown
KP019250,Unknown
KP019249,Unknown
KP019248,Unknown
KP019247,Unknown
KP019246,Unknown
KP019245,Unknown
KP019244,Unknown
KP019243,Unknown
KP019242,Unknown
KP019241,Unknown
KP019240,Unknown
KP019255,Unknown
MZ546256,Unknown
MZ546255,Unknown
MZ546254,Unknown
MZ546253,Unknown
MZ546252,Unknown
MZ546251,Unknown
MZ546250,Unknown
MZ546249,Unknown
MZ546248,Unknown
MZ546247,Unknown
MZ546246,Unknown
MZ546245,Unknown
MZ546244,Unknown
MZ546243,Unknown
MZ546242,Unknown
MZ546241,Unknown
MZ546240,Unknown
MZ546239,Unknown
MZ546238,Unknown
MZ546237,Unknown
MZ546236,Unknown
MZ546235,Unknown
MZ546234,Unknown
MZ546233,Unknown
MZ546232,Unknown
MZ546224,Unknown
MZ546231,Unknown
MZ546223,Unknown
MZ546230,Unknown
MZ546222,Unknown
MZ546229,Unknown
MZ546221,Unknown
MZ546228,Unknown
MZ546220,Unknown
MZ546227,Unknown
MZ546219,Unknown
MZ546226,Unknown
MZ546218,Unknown
MZ546225,Unknown
MZ546285,Unknown
MZ546314,Unknown
MZ546284,Unknown
MZ546313,Unknown
MZ546283,Unknown
MZ546312,Unknown
MZ546282,Unknown
MZ546311,Unknown
MZ546281,Unknown
MZ546310,Unknown
MZ546280,Unknown
MZ546309,Unknown
MZ546279,Unknown
MZ546308,Unknown
MZ546278,Unknown
MZ546307,Unknown
MZ546277,Unknown
MZ546306,Unknown
MZ546276,Unknown
MZ546305,Unknown
MZ546275,Unknown
MZ546304,Unknown
MZ546274,Unknown
MZ546303,Unknown
MZ546273,Unknown
MZ546302,Unknown
MZ546272,Unknown
MZ546301,Unknown
MZ546271,Unknown
MZ546300,Unknown
MZ546270,Unknown
MZ546299,Unknown
MZ546269,Unknown
MZ546298,Unknown
MZ546268,Unknown
MZ546297,Unknown
MZ546267,Unknown
MZ546296,Unknown
MZ546266,Unknown
MZ546295,Unknown
MZ546265,Unknown
MZ546294,Unknown
MZ546264,Unknown
MZ546293,Unknown
MZ546263,Unknown
MZ546292,Unknown
MZ546262,Unknown
MZ546291,Unknown
MZ546261,Unknown
MZ546290,Unknown
MZ546260,Unknown
MZ546289,Unknown
MZ546259,Unknown
MZ546288,Unknown
MZ546258,Unknown
MZ546287,Unknown
MZ546257,Unknown
MZ546286,Unknown
OQ911727,Unknown
JX412113,Unknown
JX412151,Unknown
KY994539,Unknown
OQ730057,Unknown
JX412128,Unknown
JX412166,Unknown
OP572474,Unknown
OP572473,Unknown
OP572472,Unknown
OP572471,Unknown
OP572470,Unknown
OP572469,Unknown
OP572468,Unknown
OP572467,Unknown
OP572466,Unknown
OP572465,Unknown
OP572464,Unknown
OP572463,Unknown
OP572462,Unknown
OP572461,Unknown
OP572460,Unknown
OP572459,Unknown
OP572458,Unknown
OP572457,Unknown
OP572456,Unknown
OP572455,Unknown
OP572454,Unknown
OP572453,Unknown
OP572452,Unknown
OP572451,Unknown
OP572450,Unknown
OP572449,Unknown
OP572448,Unknown
OP572447,Unknown
OP572446,Unknown
OP572445,Unknown
OP572444,Unknown
OP572443,Unknown
OP572442,Unknown
OP572441,Unknown
OP572440,Unknown
OP572439,Unknown
OP572438,Unknown
OP572437,Unknown
OP572436,Unknown
OP572435,Unknown
OP572434,Unknown
OP572433,Unknown
OP572432,Unknown
OP572431,Unknown
OP572430,Unknown
OP572429,Unknown
OP572428,Unknown
OP572427,Unknown
MT771984,Unknown
MT771983,Unknown
MT771982,Unknown
MT771981,Unknown
MT771980,Unknown
MT771979,Unknown
MT771978,Unknown
MT771977,Unknown
MT771976,Unknown
MT771975,Unknown
MT771974,Unknown
MT771973,Unknown
MT771972,Unknown
MT771971,Unknown
MT771970,Unknown
MT771969,Unknown
MT771968,Unknown
MT771967,Unknown
MT771966,Unknown
MT771965,Unknown
MT771964,Unknown
MT771963,Unknown
MT771962,Unknown
MT771961,Unknown
MT771960,Unknown
MT771959,Unknown
LC155234,Unknown
MT755643,Unknown
LC155231,Unknown
JX412147,Unknown
JX412185,Unknown
JX412132,Unknown
JX412170,Unknown
PQ215503,Unknown
HM596522,Unknown
HM596521,Unknown
HM596514,Unknown
HM596513,Unknown
HM596512,Unknown
HM596511,Unknown
HM596510,Unknown
HM596509,Unknown
HM596524,Unknown
HM596523,Unknown
HM596520,Unknown
HM596519,Unknown
HM596518,Unknown
HM596517,Unknown
HM596516,Unknown
HM596515,Unknown
HM596508,Unknown
KM226842,Unknown
KM226843,Unknown
KM226844,Unknown
KM226845,Unknown
KM226846,Unknown
KM226847,Unknown
KM226848,Unknown
KM226849,Unknown
KM226850,Unknown
KM226851,Unknown
KM226852,Unknown
KM226853,Unknown
KM226854,Unknown
KM226855,Unknown
KM226856,Unknown
KM226857,Unknown
KM226858,Unknown
KM226859,Unknown
KM226860,Unknown
KM226861,Unknown
KM226862,Unknown
KM501545,Unknown
KM501544,Unknown
KM501543,Unknown
KM501542,Unknown
KM501541,Unknown
PQ215497,Unknown
JX073665,Unknown
JX073666,Unknown
JX073664,Unknown
MT013274,Unknown
MT013273,Unknown
MT013272,Unknown
MT013271,Unknown
MT013270,Unknown
FJ797034,Unknown
FJ797052,Unknown
FJ797056,Unknown
FJ797051,Unknown
FJ797057,Unknown
MN881083,Unknown
MN881084,Unknown
MN881081,Unknown
MN881086,Unknown
MN881085,Unknown
MN881082,Unknown
KY978943,Unknown
KY978942,Unknown
KY978941,Unknown
KY978940,Unknown
KY978939,Unknown
KY978938,Unknown
KY978937,Unknown
KY978936,Unknown
KY978935,Unknown
KY978913,Unknown
KY978934,Unknown
KY978912,Unknown
KY978933,Unknown
KY978911,Unknown
KY978932,Unknown
KY978910,Unknown
KY978931,Unknown
KY978909,Unknown
KY978930,Unknown
KY978908,Unknown
KY978929,Unknown
KY978907,Unknown
KY978928,Unknown
KY978906,Unknown
KY978927,Unknown
KY978905,Unknown
KY978926,Unknown
KY978904,Unknown
KY978925,Unknown
KY978903,Unknown
KY978924,Unknown
KY978902,Unknown
KY978923,Unknown
KY978901,Unknown
KY978922,Unknown
KY978900,Unknown
KY978921,Unknown
KY978899,Unknown
KY978920,Unknown
KY978898,Unknown
KY978919,Unknown
KY978897,Unknown
KY978918,Unknown
KY978896,Unknown
KY978917,Unknown
KY978895,Unknown
KY978916,Unknown
KY978894,Unknown
KY978915,Unknown
KY978893,Unknown
KY978914,Unknown
KY314448,Unknown
KY290924,Unknown
KY314407,Unknown
KY290926,Unknown
KY314433,Unknown
KY290942,Unknown
KY314441,Unknown
KY290920,Unknown
KY314409,Unknown
KY290911,Unknown
KY314447,Unknown
KY290893,Unknown
KY314406,Unknown
KY290934,Unknown
KY314426,Unknown
KY290914,Unknown
KY314442,Unknown
KY290919,Unknown
KY314408,Unknown
KY290938,Unknown
KY314432,Unknown
KY290922,Unknown
KY314403,Unknown
KY290916,Unknown
KY314428,Unknown
KY290940,Unknown
KY314439,Unknown
KY290925,Unknown
KY314444,Unknown
KY290892,Unknown
KY314416,Unknown
KY290900,Unknown
KY314421,Unknown
KY290930,Unknown
KY314445,Unknown
KY290915,Unknown
KY314425,Unknown
KY290943,Unknown
KY314401,Unknown
KY290906,Unknown
KY314399,Unknown
KY290894,Unknown
KY314400,Unknown
KY290923,Unknown
KY314431,Unknown
KY290912,Unknown
KY314455,Unknown
KY290927,Unknown
KY314437,Unknown
KY290931,Unknown
KY314411,Unknown
KY290936,Unknown
KY314429,Unknown
KY290895,Unknown
KY314404,Unknown
KY290907,Unknown
KY314413,Unknown
KY290939,Unknown
KY314410,Unknown
KY290909,Unknown
KY314414,Unknown
KY290899,Unknown
KY314438,Unknown
KY290904,Unknown
KY314412,Unknown
KY290898,Unknown
KY314419,Unknown
KY290946,Unknown
KY314402,Unknown
KY290935,Unknown
KY314427,Unknown
KY290945,Unknown
KY314420,Unknown
KY290897,Unknown
KY314418,Unknown
KY290913,Unknown
KY314417,Unknown
KY290941,Unknown
KY314415,Unknown
KY290908,Unknown
KY314454,Unknown
KY290902,Unknown
KY314443,Unknown
KY290918,Unknown
KY314430,Unknown
KY290901,Unknown
KY314452,Unknown
KY290903,Unknown
KY314451,Unknown
KY290933,Unknown
KY314424,Unknown
KY290928,Unknown
KY314422,Unknown
KY290910,Unknown
KY314446,Unknown
KY290917,Unknown
KY314440,Unknown
KY290944,Unknown
KY314453,Unknown
KY290905,Unknown
KY314436,Unknown
KY290929,Unknown
KY314449,Unknown
KY290937,Unknown
KY314435,Unknown
KY290891,Unknown
KY314434,Unknown
KY290932,Unknown
KY314423,Unknown
KY290921,Unknown
KY314450,Unknown
KY290896,Unknown
KY314405,Unknown
PQ215489,Unknown
KU050193,Unknown
KU050192,Unknown
KU050191,Unknown
KU050190,Unknown
KU050189,Unknown
KU050188,Unknown
KU050187,Unknown
KU050186,Unknown
KU050185,Unknown
KU050184,Unknown
KU050183,Unknown
KU050182,Unknown
KU050181,Unknown
KU050180,Unknown
KU050179,Unknown
KU050178,Unknown
KU050177,Unknown
KU050176,Unknown
KU050175,Unknown
KU050174,Unknown
KU050170,Unknown
KU050169,Unknown
KU050168,Unknown
KU050167,Unknown
KU050166,Unknown
KU050165,Unknown
KU050164,Unknown
KU050163,Unknown
KU050162,Unknown
KU050161,Unknown
KU050160,Unknown
KU050159,Unknown
KU050173,Unknown
KU050171,Unknown
KU050172,Unknown
EF029183,Unknown
EF029182,Unknown
MW452855,Unknown
MW452854,Unknown
MW452853,Unknown
MW452852,Unknown
MW452851,Unknown
MW452850,Unknown
MW452849,Unknown
MW452848,Unknown
MW452847,Unknown
MW452846,Unknown
MW452845,Unknown
MW452844,Unknown
MW452843,Unknown
MW452842,Unknown
MW452841,Unknown
MW452840,Unknown
MW452839,Unknown
MW452838,Unknown
MW452837,Unknown
MW452836,Unknown
MW452835,Unknown
MW452834,Unknown
MW452833,Unknown
MW452832,Unknown
MW452831,Unknown
MW452830,Unknown
MW452829,Unknown
MW452828,Unknown
MW452827,Unknown
MW452826,Unknown
MW452825,Unknown
MW452824,Unknown
MW452823,Unknown
MW452822,Unknown
MW452821,Unknown
MW452820,Unknown
MW452819,Unknown
MW452818,Unknown
MW452817,Unknown
MW452816,Unknown
MW452815,Unknown
MW452814,Unknown
MW452813,Unknown
MW452812,Unknown
MW452811,Unknown
MW452810,Unknown
MW452809,Unknown
MW452808,Unknown
MW452807,Unknown
MW452806,Unknown
MW452805,Unknown
MW452804,Unknown
MW452803,Unknown
MW452802,Unknown
MW452801,Unknown
MW452800,Unknown
MW452799,Unknown
MW452798,Unknown
MW452797,Unknown
MW452796,Unknown
MW452795,Unknown
MW452794,Unknown
MW452793,Unknown
MW452792,Unknown
MW452791,Unknown
MW452790,Unknown
MW452789,Unknown
MW452788,Unknown
MW452787,Unknown
MW452786,Unknown
MW452785,Unknown
MW452784,Unknown
MW452783,Unknown
MW452782,Unknown
MW452781,Unknown
MW452780,Unknown
MW452779,Unknown
MW452778,Unknown
MW452777,Unknown
MW452776,Unknown
MW452775,Unknown
MW452774,Unknown
MW452773,Unknown
MW452772,Unknown
MW452771,Unknown
MW452770,Unknown
MW452769,Unknown
MW452768,Unknown
MW452767,Unknown
MW452766,Unknown
MW452765,Unknown
EF029181,Unknown
MW452764,Unknown
MW452763,Unknown
MW452762,Unknown
MW452761,Unknown
MW452760,Unknown
MW452759,Unknown
MW452758,Unknown
MW452757,Unknown
MW452756,Unknown
MW452755,Unknown
MW452754,Unknown
MW452753,Unknown
MW452752,Unknown
MW452751,Unknown
MW452750,Unknown
MW452749,Unknown
MW452748,Unknown
MW452747,Unknown
MW452746,Unknown
MW452745,Unknown
MW452744,Unknown
MW452743,Unknown
MW452742,Unknown
MW452741,Unknown
MW452740,Unknown
MW452739,Unknown
MW452738,Unknown
MW452737,Unknown
MW452736,Unknown
MW452735,Unknown
MW452734,Unknown
MW452733,Unknown
MW452732,Unknown
MW452731,Unknown
MW452730,Unknown
MW452729,Unknown
MW452728,Unknown
MW452727,Unknown
MW452726,Unknown
MW452725,Unknown
MW452724,Unknown
MW452723,Unknown
MW452722,Unknown
MW452721,Unknown
MW452720,Unknown
MW452719,Unknown
MW452718,Unknown
MW452717,Unknown
MW452716,Unknown
MW452715,Unknown
MW452714,Unknown
MW452713,Unknown
MW452712,Unknown
MW452711,Unknown
MW452710,Unknown
MW452709,Unknown
MW452708,Unknown
MW452707,Unknown
MW452706,Unknown
MW452705,Unknown
MW452704,Unknown
MW452703,Unknown
MW452702,Unknown
MW452701,Unknown
MW452700,Unknown
MW452699,Unknown
MW452698,Unknown
MW452697,Unknown
MW452696,Unknown
MW452695,Unknown
MW452694,Unknown
MW452693,Unknown
MW452692,Unknown
MW452691,Unknown
MW452690,Unknown
MW452689,Unknown
MW452688,Unknown
MW452687,Unknown
MW452686,Unknown
MW452685,Unknown
MW452684,Unknown
MW452683,Unknown
MW452682,Unknown
MW452681,Unknown
MW452680,Unknown
MW452679,Unknown
MW452678,Unknown
MW452677,Unknown
MW452676,Unknown
MW452675,Unknown
MW452674,Unknown
MW452673,Unknown
MW452672,Unknown
MW452671,Unknown
MW452670,Unknown
MW452669,Unknown
MW452668,Unknown
MW452667,Unknown
MW452666,Unknown
EF029180,Unknown
EF029179,Unknown
PX131956,Unknown
PX131955,Unknown
PX131954,Unknown
PX131953,Unknown
PX131952,Unknown
PX131951,Unknown
PX131950,Unknown
PX131949,Unknown
PX131948,Unknown
PX131947,Unknown
PX131946,Unknown
PX131945,Unknown
PX131944,Unknown
PX131943,Unknown
PX131942,Unknown
PX131941,Unknown
PX131940,Unknown
PX131939,Unknown
PX131938,Unknown
PX131937,Unknown
PX131936,Unknown
PX131935,Unknown
PX131934,Unknown
PX131933,Unknown
PX131932,Unknown
PX131931,Unknown
PX131930,Unknown
PX131929,Unknown
PX131928,Unknown
PX131927,Unknown
PX131926,Unknown
PX131925,Unknown
PX131924,Unknown
PX131923,Unknown
PX131922,Unknown
PX131921,Unknown
PX131920,Unknown
PX131919,Unknown
PX131918,Unknown
PX131917,Unknown
PX131916,Unknown
PX131915,Unknown
PX131914,Unknown
PX131913,Unknown
PX131912,Unknown
PX131911,Unknown
PX131910,Unknown
PX131909,Unknown
PX131908,Unknown
PX131907,Unknown
PX131906,Unknown
PX131905,Unknown
PX131904,Unknown
PX131903,Unknown
PX131902,Unknown
PX131901,Unknown
PX131900,Unknown
PX131899,Unknown
PX131898,Unknown
PX131897,Unknown
PX131896,Unknown
KC904802,Unknown
KC904801,Unknown
KC904800,Unknown
KC904799,Unknown
KC904798,Unknown
KC904825,Unknown
FJ797033,Unknown
FJ797035,Unknown
FJ797036,Unknown
FJ797038,Unknown
FJ797039,Unknown
FJ797040,Unknown
FJ797041,Unknown
FJ797042,Unknown
FJ797043,Unknown
FJ797048,Unknown
FJ797049,Unknown
FJ797050,Unknown
FJ797053,Unknown
FJ797054,Unknown
FJ797058,Unknown
KC904811,Unknown
KC904810,Unknown
KC904809,Unknown
KC904808,Unknown
KC904807,Unknown
KC904806,Unknown
KC904805,Unknown
KC904804,Unknown
KC904821,Unknown
KC904820,Unknown
KC904819,Unknown
KC904818,Unknown
KC904817,Unknown
KC904816,Unknown
KC904815,Unknown
KC904814,Unknown
KC904813,Unknown
KC904812,Unknown
KC904803,Unknown
KC904822,Unknown
KC904824,Unknown
KC904823,Unknown
KC904834,Unknown
KC904833,Unknown
KC904832,Unknown
KC904831,Unknown
KC904830,Unknown
KC904868,Unknown
KC904867,Unknown
KC904866,Unknown
KC904865,Unknown
KC904829,Unknown
KC904864,Unknown
KC904863,Unknown
KC904862,Unknown
KC904861,Unknown
KC904860,Unknown
KC904859,Unknown
KC904858,Unknown
KC904857,Unknown
KC904856,Unknown
KC904855,Unknown
KC904828,Unknown
KC904854,Unknown
KC904853,Unknown
KC904852,Unknown
KC904851,Unknown
KC904850,Unknown
KC904849,Unknown
KC904848,Unknown
KC904847,Unknown
KC904846,Unknown
KC904845,Unknown
KC904827,Unknown
KC904844,Unknown
KC904843,Unknown
KC904842,Unknown
KC904841,Unknown
KC904840,Unknown
KC904839,Unknown
KC904838,Unknown
KC904837,Unknown
KC904836,Unknown
KC904835,Unknown
KC904826,Unknown
KX296742,Unknown
KX296745,Unknown
PV012280,A
PV012262,A
JX412143,Unknown
JX412181,Unknown
PQ215508,Unknown
JX412130,Unknown
JX412168,Unknown
JX412124,Unknown
JX412162,Unknown
PQ215499,Unknown
JX412119,Unknown
JX412157,Unknown
JX412114,Unknown
JX412152,Unknown
MW438318,Unknown
JX412117,Unknown
JX412155,Unknown
LC155226,Unknown
KJ922762,Unknown
KJ922766,Unknown
MK303341,Unknown
MK303340,Unknown
MK303339,Unknown
MK303336,Unknown
MK303337,Unknown
KJ465998,Unknown
KJ465999,Unknown
KJ465996,Unknown
PQ529790,Unknown
PQ529789,Unknown
PQ529788,Unknown
PQ529787,Unknown
KJ465997,Unknown
KP212154,A
KP212153,A
KP212152,A
KP212151,A
KP212159,A
KP212158,A
KP212150,A
KP212157,A
KP212156,A
KP212155,A
JX412112,Unknown
JX412150,Unknown
MF066775,Unknown
MF066865,Unknown
MF066774,Unknown
MF066864,Unknown
MF066773,Unknown
MF066863,Unknown
MF066772,Unknown
MF066862,Unknown
MF066771,Unknown
MF066861,Unknown
MF066860,Unknown
MF066729,Unknown
MF066816,Unknown
KJ465993,Unknown
KX912911,Unknown
MF066728,Unknown
MF066815,Unknown
MF066770,Unknown
MF066859,Unknown
KX912910,Unknown
MF066769,Unknown
MF066858,Unknown
MF066768,Unknown
MF066857,Unknown
KX912909,Unknown
MF066767,Unknown
MF066856,Unknown
MF066766,Unknown
MF066855,Unknown
KX912908,Unknown
MF066765,Unknown
MF066854,Unknown
MF066764,Unknown
MF066853,Unknown
MF066763,Unknown
MF066852,Unknown
KX912907,Unknown
MF066762,Unknown
MF066851,Unknown
KX912906,Unknown
MF066727,Unknown
MF066814,Unknown
MF066761,Unknown
MF066850,Unknown
KX912905,Unknown
MF066760,Unknown
MF066849,Unknown
KX912904,Unknown
KX912903,Unknown
MF066759,Unknown
MF066848,Unknown
KX912902,Unknown
MF066758,Unknown
MF066847,Unknown
MF066757,Unknown
MF066846,Unknown
MF066756,Unknown
MF066845,Unknown
MF066755,Unknown
MF066844,Unknown
MF066754,Unknown
MF066843,Unknown
MF066753,Unknown
MF066842,Unknown
KX912901,Unknown
MF066752,Unknown
MF066841,Unknown
MF066751,Unknown
MF066840,Unknown
MF066750,Unknown
MF066839,Unknown
KX912900,Unknown
MF066749,Unknown
MF066838,Unknown
MF066748,Unknown
MF066837,Unknown
MF066747,Unknown
MF066836,Unknown
KX912899,Unknown
MF066746,Unknown
MF066835,Unknown
KX912898,Unknown
MF066745,Unknown
MF066834,Unknown
KX912897,Unknown
MF066744,Unknown
MF066833,Unknown
KX912896,Unknown
KX912912,Unknown
MF066743,Unknown
MF066832,Unknown
KX912895,Unknown
MF066742,Unknown
MF066831,Unknown
MF066741,Unknown
MF066830,Unknown
MF066740,Unknown
MF066829,Unknown
MF066739,Unknown
MF066828,Unknown
MF066738,Unknown
MF066827,Unknown
MF066737,Unknown
MF066826,Unknown
MF066736,Unknown
MF066825,Unknown
MF066735,Unknown
MF066824,Unknown
MF066734,Unknown
MF066823,Unknown
KX912894,Unknown
MF066733,Unknown
MF066822,Unknown
MF066821,Unknown
KX912893,Unknown
KX912892,Unknown
KX912891,Unknown
MF066732,Unknown
MF066820,Unknown
KX912890,Unknown
KX912889,Unknown
KX912888,Unknown
KX912887,Unknown
KX912886,Unknown
KX912885,Unknown
LC857155,Unknown
MF066731,Unknown
MF066819,Unknown
LC857161,Unknown
KX912884,Unknown
LC857154,Unknown
LC857153,Unknown
KX912883,Unknown
PP974748,Unknown
KX912882,Unknown
KX912881,Unknown
MF066730,Unknown
MF066818,Unknown
KX912880,Unknown
PP974747,Unknown
PP974734,Unknown
PP974733,Unknown
MF066784,Unknown
MF066874,Unknown
LC857152,Unknown
MF066783,Unknown
MF066873,Unknown
MF066782,Unknown
MF066872,Unknown
MF066817,Unknown
MF066781,Unknown
MF066871,Unknown
MF066780,Unknown
MF066870,Unknown
MF066779,Unknown
MF066869,Unknown
LC857160,Unknown
MF066778,Unknown
MF066868,Unknown
MF066777,Unknown
MF066867,Unknown
MF066776,Unknown
MF066866,Unknown
KX912879,Unknown
MZ484662,Unknown
MZ484655,Unknown
OQ730069,Unknown
OQ730081,Unknown
MZ484658,Unknown
MZ484659,Unknown
MT013264,Unknown
MT013263,Unknown
KY549321,A
KY549320,A
KY549319,A
KY549318,A
KY549317,A
KY549316,A
KY549315,A
KY549314,A
KY549313,A
KY549312,A
MT013262,Unknown
KY549311,A
KY549310,A
MZ484656,Unknown
MT013261,Unknown
KY549309,A
KY549308,A
KY549307,A
KY549306,A
KY549305,A
MT013260,Unknown
KY549304,A
KY549303,A
KY549302,A
KY549301,A
KY549300,A
KY549299,A
KY549298,A
KY549297,A
KY549296,A
KY549295,A
KY549294,A
KY549293,A
KY549292,A
KY549291,A
KY549290,A
KY549289,A
MZ484661,Unknown
KY549288,A
KY549287,A
KY549286,A
KY549285,A
MZ447800,A
KY549284,A
KY549283,A
KY549282,A
KY549281,A
KY549280,A
KY549279,A
KY549278,A
KY549277,A
KY549276,A
KY549275,A
KY549274,A
KY549273,A
KY549272,A
KY549271,A
KY549270,A
KY549269,A
KY549268,A
KY549267,A
KY549266,A
KY549265,A
KY549264,A
KY549263,A
KY549262,A
KY549261,A
KY549260,A
KY549259,A
KY549258,A
KY549257,A
KY549256,A
KY549255,A
KY549254,A
KY549253,A
KY549252,A
KY549251,A
KY549250,A
KY549249,A
KY549248,A
KY549247,A
KY549246,A
LC155224,Unknown
KY549245,A
KY549244,A
KY549243,A
KY549242,A
KY549241,A
KY549240,A
KY549239,A
KY549238,A
KY549237,A
KY549236,A
KY549235,A
KY549234,A
KY549233,A
KY549232,A
MZ484660,Unknown
KY549231,A
KY549230,A
KY549229,A
KY549228,A
MZ484657,Unknown
KY549227,A
KY549226,A
KY549225,A
KY549224,A
KY549223,A
KY549222,A
PP974724,Unknown
MZ447801,A
OQ730050,Unknown
OQ730049,Unknown
OQ730064,Unknown
OQ730056,Unknown
OQ730048,Unknown
OQ730041,Unknown
PP974723,Unknown
LC155223,Unknown
